time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.2200000000000015,-0.00396989103668,6.43002021535e-10,24.6500358517,1.01767483329e-11,0.0004032548718,0.0,-0.00510245748442,9.97753247247e-10,16.4678126182,-2.80298584063e-10,0.000276291394988,0.0,899.999785426,899.99718302,-0.000983628182648,0.00486101871119
2.2800000000000016,-0.00428411899699,7.03007547209e-10,25.6403349028,6.28318530717,0.000419142817663,0.0,-0.00537296311674,1.00075588441e-09,16.541087615,-3.01824951289e-10,0.000241800220964,0.0,900.00063018,899.999227518,-0.00125218886986,0.00328120303737
2.3400000000000016,-0.00461479754095,7.62847600358e-10,26.6348210464,6.28318530715,0.000433199488747,0.0,-0.00565062889577,9.92146220114e-10,16.6074784958,-3.24252724167e-10,0.000219226001291,0.0,899.9997246,899.998805139,-0.00127813739549,0.00366303760655
2.4000000000000017,-0.00496232445795,8.21805511584e-10,27.6331001727,6.28318530713,0.00044547157713,0.0,-0.00593443687344,9.71186051978e-10,16.6676085628,-4.18033847205e-10,0.000175130607341,0.0,899.999936447,899.998146316,-0.00261361841482,0.00353870540857
2.4600000000000017,-0.00532703094601,8.79078179726e-10,28.6348140369,6.2831853071,0.000453514878237,0.0,-0.00622296956028,9.35427788245e-10,16.7220505208,-5.5513750065e-10,5.17612650107e-05,0.0,900.00213601,899.997137837,-0.00316015933804,0.00353796967107
2.520000000000002,-0.00570910753271,9.33652111065e-10,29.6396372149,6.28318530707,0.000454979106784,0.0,-0.00651280128485,8.80541247138e-10,16.7713262325,-6.36799275002e-10,-3.03778644323e-05,0.0,900.001950879,899.998624616,-0.0024388993214,0.000739505163405
2.580000000000002,-0.0061085197037,9.84263272689e-10,30.6472742393,6.28318530703,0.000451470845399,0.0,-0.00680038717139,8.0295331097e-10,16.8159128796,-6.8042935124e-10,-0.000114727438715,0.0,900.002743083,899.999329262,-0.00209239675785,-0.00109549841709
2.640000000000002,-0.00652504414178,1.02948500368e-09,31.6574569018,6.28318530699,0.0004428442313,0.0,-0.00708276876385,7.00554548861e-10,16.8562424547,-8.70335260943e-10,-0.000201950361063,0.0,900.002486445,899.998958273,-0.00371923574151,0.000449585887296
2.700000000000002,-0.00695828049304,1.0677056705e-09,32.6699419405,6.28318530693,0.000431803421494,0.0,-0.00735713187028,5.68675685236e-10,16.8927148656,-9.47041192336e-10,-0.000148157027027,0.0,900.000154392,900.002336713,-0.00236373584255,0.000536824005544
2.760000000000002,-0.00740773771408,1.09701718784e-09,33.6845087917,6.28318530688,0.000425347035256,0.0,-0.0076238575293,4.03270680311e-10,16.9256873579,-9.49961398383e-10,-2.6612817273e-05,0.0,899.997910026,900.002833717,-0.000629875166483,-0.000428993481841
